index,having_IPhaving_IP_Address,URLURL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,1,1,1,1,0,0,0,0,1,1,0,0
2,1,1,1,1,1,0,-1,1,0,1,1,0,1,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3,1,-1,1,1,1,0,0,0,0,1,1,0,1,-1,0,0,0,0,-1,1,1,1,1,1,0,1,0,1,-1,0,0
4,1,-1,1,1,1,0,0,0,1,1,1,0,0,-1,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,0,1,0
5,1,-1,0,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,0,1,0,1,0,0,-1,0,1,1,1,1
6,0,-1,0,1,0,0,1,1,0,1,1,0,1,-1,-1,0,0,0,-1,1,1,1,1,1,1,1,0,1,0,0,1
7,1,-1,0,1,1,0,0,0,1,1,1,1,0,0,-1,0,0,0,-1,1,1,1,1,1,0,0,0,1,-1,0,0
8,1,-1,1,1,1,0,0,0,1,1,1,0,0,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,1,0
9,1,-1,0,1,1,0,1,1,0,1,1,0,1,-1,1,0,1,1,-1,1,1,1,1,1,0,1,1,1,-1,1,1
01-Jan,1,1,0,1,1,0,0,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,0
11,1,1,1,1,1,0,-1,1,1,1,1,1,0,-1,-1,0,0,0,-1,1,1,1,1,0,1,1,1,1,0,0,1
01-Jan,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,1,-1,0,0
13,0,1,0,1,0,0,-1,-1,1,1,1,0,0,0,1,0,1,1,-1,0,1,0,1,1,0,0,0,1,-1,1,0
14,1,1,0,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
15,1,1,0,1,1,1,0,1,0,1,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,1
16,1,0,0,0,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,-1,1,0
17,1,0,0,1,1,0,1,1,0,1,1,0,1,-1,0,0,0,0,-1,1,1,1,1,1,0,-1,0,1,1,0,0
18,1,0,1,1,1,0,0,-1,1,1,0,1,1,-1,0,0,0,0,-1,1,1,1,1,0,1,1,0,1,1,0,0
19,1,1,1,1,1,0,0,1,1,1,1,0,0,-1,0,0,0,0,-1,1,1,1,1,1,0,0,1,1,0,0,1
-1-1,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,1,-1,0,1
-11,1,-1,0,1,1,0,-1,1,0,1,1,1,1,-1,-1,0,0,0,-1,0,1,0,1,0,1,1,0,1,0,0,1
-1-1,1,-1,1,1,1,0,-1,1,1,1,1,0,0,-1,0,0,0,0,-1,1,1,1,1,0,1,0,0,1,-1,0,1
-13,1,1,1,1,1,0,0,0,0,1,1,0,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,0,1,1
-14,1,1,1,1,1,0,1,-1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
-15,1,0,0,0,1,0,1,1,0,1,1,0,0,-1,-1,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,1
-16,1,0,1,1,1,0,-1,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
-17,1,0,1,1,1,0,-1,0,1,1,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,-1,0,1,0,0,0
-18,1,0,0,1,1,1,0,1,1,1,1,1,0,1,-1,0,0,0,-1,1,1,1,1,1,0,-1,0,1,-1,0,1
-19,1,0,0,1,0,1,0,1,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
03-Jan,1,0,1,1,1,0,0,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1
31,1,0,1,1,1,0,0,1,0,1,1,0,1,-1,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,1
03-Jan,1,0,1,1,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,-1,0,1,0,0,1,0,1,1,1,-1,0,1
33,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,0,0,1,0,0,1
34,1,-1,1,1,1,0,0,1,0,1,1,1,1,-1,1,0,0,0,-1,1,1,1,1,1,1,1,0,1,-1,0,1
35,1,-1,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,0,0,-1,1,1,1,1,1,0,1,0,1,1,0,0
36,1,-1,1,1,1,0,0,0,0,1,1,0,1,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
37,1,-1,1,1,1,0,0,1,0,0,1,0,0,0,-1,0,1,1,-1,0,1,0,0,0,0,-1,0,1,-1,1,0
38,1,-1,1,1,1,0,0,0,1,0,1,1,0,0,-1,0,1,1,-1,0,1,0,1,0,0,-1,0,1,-1,1,0
39,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,-1,1,1,1,1,1,0,1,0,0,1,0,1
04-Jan,1,0,1,1,1,0,-1,0,0,1,1,0,0,1,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,-1,1,1
